Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CEPE0053050,FORTALEZA (CE) - RECIFE(PE),18:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CEPE0053050,FORTALEZA (CE) - RECIFE(PE),21:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CEPE0053050,FORTALEZA (CE) - RECIFE(PE),19:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),16:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),21:10,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),18:10,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),18:10,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),18:10,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),18:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),18:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),18:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAPE0023009,SALVADOR (BA) X RECIFE (PE),21:00,ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BASP0053030,SALVADOR (BA) - SAO PAULO (SP),21:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BASP0053030,SALVADOR (BA) - SAO PAULO (SP),21:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
PESP0053021,RECIFE (PE) - SAO PAULO (SP),06:30,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
PESP0053021,RECIFE (PE) - SAO PAULO (SP),20:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
ALSP0053032,MACEIO (AL) - SAO PAULO (SP),08:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGPI0053023,UBERLANDIA (MG) - TERESINA (PI),02:30,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGPI0053023,UBERLANDIA (MG) - TERESINA (PI),13:00,Volta
